url,Creation_day,Update_day,Expiration_day,Expiration_Creation_day,ttl,'%','$','=','@','?','&','#','.','_','-',';','{','}','[',']','|','+','*',uppercase,digit_ratio,consonant_vowel,https,file_extension,url_shortening
url,,,,,Error: 'NoneType' object has no attribute 'is_absolute',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,,,,,Error: The DNS query name does not exist: www.garage-pirenne.be.,0.0,0.0,4.0,0.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07954545454545454,0.6111111111111112,0,0,0
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkPTM2OmRlbW8tYXJ0aWNsZXMmSXRlbWlkPTU0,,,,,Error: The DNS query name does not exist: adventure-nicaragua.net.,0.0,0.0,3.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2680851063829787,0.09361702127659574,0.5238095238095238,0,0,0
http://www.pashminaonline.com/pure-pashminas,4721.0,337.0,26.0,4748.0,86400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0,0,0
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,,,,,Error: The DNS query name does not exist: www.ikenmijnkunst.nl.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.7777777777777778,0,0,0
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,,,,,Error: The DNS query name does not exist: www.lebensmittel-ueberwachung.de.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.6551724137931034,0,0,0
http://www.szabadmunkaero.hu/cimoldal.html?start=12,,,,,86400,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392156862745098,0.631578947368421,0,0,0
http://larcadelcarnevale.com/catalogo/palloncini,,,,,Error: The DNS query name does not exist: larcadelcarnevale.com.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0,0,0
http://www.vnic.co/khach-hang.html,4932.0,574.0,180.0,5113.0,3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,0,1,0
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,5848.0,4.0,361.0,6210.0,3600,0.0,0.0,4.0,0.0,1.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00980392156862745,0.0392156862745098,0.45,0,0,0
http://www.raci.it/component/user/reset.html,10052.0,238.0,111.0,10163.0,14400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0,1,0
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,5312.0,198.0,166.0,5479.0,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5833333333333334,0,0,0
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,,,,,Error: The DNS operation timed out after 5.4207236766815186 seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.6923076923076923,0,1,0
http://www.kingsmillshotel.com/spring/mothers-day,5971.0,133.0,238.0,6210.0,8600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619047619047619,0,0,0
http://www.approvi.com.br/ck.htm,7586.0,652.0,85.0,7671.0,1116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7333333333333333,0,1,0
